Lon	Lat	Temp	Ppt
-109.33	37.87	0.07	4.898979
-107.65	37.38	0.25	17.49286
-106.657	36.956	0.02	12.04159
-108.08	40.52	-0.02	13.92839
-106.969	40.848	-0.22	12.84523
-104.02	37.63	0.79	12.56981
-107.58	37.37	0.18	20.71232
-101.53	40.05	0.53	9.64365
-105.87	39.646	-0.49	14.56022
-101.7	39.37	0.48	7.141428
-102.28	37.4	0.73	21.26029
-106.67	40.08	-0.28	17.08801
-105.341	36.699	0.13	13.92839
-106.781	40.534	-0.06	13
-108.58	39.07	0.52	13.11488
-109.03	37.82	0.11	11.13553
-107.167	41.117	-0.13	16.58312
-107.17	38.47	-0.1	3.872983
-104.65	38.18	0.65	9.899495
-107.9667	41.15	-0.73	17.05872
-105.25	37	0.08	16.12452
-109.48	37.62	0.45	2.236068
-106.27	40.73	-0.16	11
-105.122	37.214	-0.02	15.96872
-106.97	38.87	-0.44	17.37815
-104.87	39.1	0.45	26.13427
-106.73	36.6	0.41	9.949874
-105.48	38.13	0.26	11.31371
-102.97	36.9	0.88	4.898979
-105.28	36.62	0.22	11.95826
-108.73	36.77	0.49	7
-101.38	39.78	0.44	3.605551
-107.47	40.03	-0.04	3.464102
-105.18	38.75	0.05	10.44031
-107.58	38.85	0.34	11.40175
-104.65	41.15	0.23	10.48809
-106.83	39.67	0.1	24.47448
-107.294	40.108	-0.25	11.83216
-106.953	38.894	-0.38	13.19091
-105.53	37.72	0.14	9.380832
-105	39.75	0.62	3.162278
-107.65	41.03	-0.06	13.74773
-105.32	39.63	0.56	19.20937
-103.7	39.18	0.43	15.45962
-103.32	37.45	0.91	2
-108.8	40.08	-0.11	13.30413
-106.13	40.05	-0.26	26.92582
-104.7	40.42	0.24	13.19091
-107.9	40.03	0.06	9.327379
-106.158	39.718	-0.27	16.43168
