Lon	Lat	Elevation	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
-109.33	37.87	2.156	0.07	0.22	1.08	1.14	2.08	2.53	2.83	2.61	2.27	1.53	0.78	0.14
-107.65	37.38	2.464	0.25	0.51	1.15	1	1.75	2.24	2.55	2.39	2.18	1.54	0.82	0.38
-106.657	36.956	2.561	0.02	0.36	1.2	1.01	1.71	2.27	2.56	2.37	2.15	1.37	0.66	0.18
-108.08	40.52	1.806	-0.02	0.25	1.1	1.18	2.14	2.71	2.96	2.84	2.34	1.64	0.68	0.04
-106.969	40.848	2.652	-0.22	0.07	0.68	0.67	1.43	2.01	2.29	2.13	1.73	1.03	0.19	-0.04
-104.02	37.63	1.552	0.79	0.8	1.85	1.63	2.47	3	3.36	3.13	2.89	2.05	1.03	0.51
-107.58	37.37	2.332	0.18	0.37	1.23	1.04	1.85	2.21	2.49	2.38	2.16	1.52	0.77	0.34
-101.53	40.05	0.903	0.53	0.74	1.61	1.54	2.31	2.93	3.34	3.04	2.81	2.07	1.14	0.53
-105.87	39.646	3.384	-0.49	-0.33	0.27	0.18	0.89	1.52	1.79	1.61	1.41	0.62	-0.23	-0.51
-101.7	39.37	1.115	0.48	0.62	1.55	1.42	2.25	2.85	3.21	2.86	2.64	1.79	0.87	0.25
-102.28	37.4	1.214	0.73	0.88	1.84	1.49	2.47	2.98	3.48	3.06	2.81	1.97	1.06	0.29
-106.67	40.08	2.707	-0.28	0	0.76	0.64	1.38	2.11	2.31	2.11	1.86	1.07	0.17	-0.28
-105.341	36.699	3.003	0.13	0.21	0.95	0.84	1.55	2.17	2.41	2.28	2.07	1.05	0.3	-0.08
-106.781	40.534	2.561	-0.06	0.21	0.81	0.75	1.55	2.14	2.36	2.21	1.83	1.15	0.27	-0.09
-108.58	39.07	1.409	0.52	0.82	1.61	1.58	2.52	3.07	3.38	3.16	2.67	1.92	1.03	0.44
-109.03	37.82	1.976	0.11	0.34	1.16	1.28	2.16	2.67	2.94	2.76	2.41	1.65	0.89	0.34
-107.167	41.117	2.485	-0.13	0.08	0.71	0.71	1.47	2.07	2.34	2.22	1.79	1.11	0.22	-0.04
-107.17	38.47	2.379	-0.1	-0.09	0.86	1.07	1.89	2.5	2.61	2.44	2.11	1.57	0.52	-0.08
-104.65	38.18	1.498	0.65	0.86	1.69	1.56	2.4	2.92	3.33	2.98	2.68	1.97	0.98	0.54
-107.9667	41.15	3.024	-0.73	-0.66	0.07	0.22	1.08	1.62	1.88	1.78	1.31	0.45	-0.41	-0.71
-105.25	37	3.232	0.08	0.36	1.01	0.83	1.47	1.97	2.24	2.01	1.77	1.07	0.43	0.08
-109.48	37.62	1.841	0.45	0.77	1.57	1.55	2.53	2.98	3.24	3	2.74	1.85	1.16	0.6
-106.27	40.73	2.471	-0.16	-0.06	0.68	0.73	1.61	2.27	2.56	2.38	2.02	1.28	0.34	-0.02
-105.122	37.214	3.116	-0.02	0.21	0.92	0.58	1.22	1.76	1.97	1.91	1.75	1.07	0.3	-0.08
-106.97	38.87	2.705	-0.44	-0.27	0.33	0.53	1.44	2.06	2.32	2.16	1.86	1.13	0.22	-0.42
-104.87	39.1	2.158	0.45	0.56	1.2	0.95	1.79	2.4	3.06	2.67	2.19	1.47	0.56	0.25
-106.73	36.6	2.074	0.41	0.78	1.53	1.39	2.18	2.72	3.01	2.87	2.59	1.9	1.07	0.42
-105.48	38.13	2.396	0.26	0.3	1.3	1.13	1.86	2.41	2.83	2.54	2.37	1.62	0.73	0.23
-102.97	36.9	1.326	0.88	0.94	1.85	1.58	2.46	2.92	3.37	3.08	2.83	2.19	1.31	0.63
-105.28	36.62	2.583	0.22	0.27	1.06	0.88	1.8	2.29	2.61	2.49	2.26	1.41	0.55	0.16
-108.73	36.77	1.51	0.49	1.08	1.95	1.85	2.76	3.24	3.44	3.29	2.99	2.23	1.46	0.73
-101.38	39.78	1.028	0.44	0.64	1.5	1.47	2.26	2.92	3.35	3.01	2.77	1.93	0.98	0.38
