NEIG	HOVAL	INC	CRIME	        OPEN	        PLUMB	       DISCBD	X	Y	AREA	PERIM
5	80.467	19.531	15.72598	2.850747	0.217155	5.03	38.8	44.07	10.391	2.440629
1	44.567	21.232	18.80175	5.29672	        0.320581	4.27	35.62	42.38	8.621	2.236939
6	26.35	15.956	30.62678	4.534649	0.374404	3.89	39.82	41.18	6.981	2.187547
2	33.2	4.477	32.38776	0.394427	1.186944	3.7	36.5	40.52	2.908	1.427635
7	23.225	11.252	50.73151	0.405664	0.624596	2.83	40.01	38	16.827	2.997133
8	28.75	16.029	26.06666	0.563075	0.25413	        3.78	43.75	39.28	8.929	2.335634
4	75	8.438	0.178269	0	        2.402402	2.74	33.36	38.41	16.22	2.554577
3	37.125	11.337	38.42586	3.483478	2.739726	2.89	36.71	38.71	6.439	2.139524
18	52.6	17.586	30.51592	0.527488	0.890736	3.17	43.44	35.92	16.164	3.169707
10	96.4	13.598	34.00084	1.548348	0.557724	4.33	47.61	36.42	7.268	2.087235
38	19.7	7.467	62.27545	0	        1.479915	1.9	37.85	36.3	1.285	0.919488
37	19.9	10.048	56.70567	3.157895	2.635046	1.91	37.13	36.12	1.472	0.902125
39	41.7	9.549	46.71613	0	        6.328423	2.09	35.95	36.4	1.093	0.93659
40	42.9	9.963	57.06613	0.477104	5.110962	1.83	35.72	35.6	2.077	1.128423
9	18	9.873	48.58549	0.174325	1.311475	1.7	39.61	34.91	3.231	1.437606
36	18.8	7.625	54.83871	0.533737	4.6875	        1.1	37.6	34.08	3.59	1.34006
11	41.75	9.798	36.86877	0.448232	1.619745	4.47	48.58	34.46	3.457	1.382359
42	60	13.185	43.96249	24.99807	13.84929	1.58	36.15	33.92	2.691	1.183352
41	30.6	11.618	54.52197	0.111111	2.622951	1.53	35.76	34.66	1.369	1.249247
17	81.267	31.07	0.223797	5.318607	0.167224	3.57	46.73	31.91	14.453	3.174601
43	19.975	10.655	40.07407	1.643756	1.559576	1.41	34.08	30.42	21.282	5.077491
19	30.45	11.709	33.70505	4.539754	1.785714	2.45	43.37	33.46	6.84	1.992717
12	47.733	21.155	20.0485	        0.532632	0.216763	4.78	49.61	32.65	6.901	2.147528
35	53.2	14.236	38.29787	0.62622	        18.81107	0.42	36.6	32.09	6.0287	2.240392
32	17.9	8.461	61.29917	0	        6.529851	0.83	39.36	32.88	5.554	1.666489
20	20.3	8.085	40.96974	1.238288	2.534275	1.5	41.13	33.14	3.7	1.406823
21	34.1	10.822	52.79443	19.3681	        1.483516	2.24	43.95	31.61	5.7	1.780751
31	22.85	7.856	56.91978	0.509305	3.001072	1.41	41.31	30.9	5.167	1.637148
33	32.5	8.681	60.75045	0	        2.645051	0.81	39.72	30.64	2.218	1.312158
34	22.5	13.906	68.89204	1.63878	        15.60062	0.37	38.29	30.35	3.193	1.524931
45	31.8	16.94	17.67721	3.936443	0.85389	        3.78	27.94	29.85	3.812	1.716046
13	40.3	18.942	19.14559	2.221022	0.255102	4.76	50.11	29.91	8.671	2.108951
22	23.6	9.918	41.96816	0	        1.023891	2.28	44.1	30.4	2.029	1.507971
44	28.45	14.948	23.97403	3.029087	0.386803	3.06	30.32	28.26	7.608	2.519132
23	27	12.814	39.17505	4.220401	0.633675	2.37	43.7	29.18	6.38	1.974937
46	36.3	18.739	14.30556	6.773331	0.332349	4.23	27.27	28.21	5.191	1.790058
30	43.3	17.017	42.44508	4.839273	1.230329	1.08	38.32	28.82	7.573	1.402253
24	22.7	11.107	53.71094	0	        0.8	        1.58	41.04	28.78	1.557	0.934508
47	39.6	18.477	19.10086	0	        0.314663	5.53	24.25	26.69	6.402	2.335402
16	61.95	29.833	16.2413	        6.45131	        0.132743	4.4	48.44	27.93	8.772	2.285486
14	42.1	22.207	18.90515	0.293317	0.247036	5.33	51.24	27.8	4.632	1.525097
49	44.333	25.873	16.49189	1.792993	0.134439	3.87	29.02	26.58	8.695	2.176543
29	25.7	13.38	36.66361	0	        0.589226	1.95	41.09	27.49	2.274	0.967793
25	33.5	16.961	25.96226	1.463993	0.329761	2.67	43.23	27.31	6.305	1.868044
28	27.733	14.135	29.02849	1.006118	2.3912	        2.13	39.32	25.85	8.785	2.193039
48	76.1	18.324	16.53053	9.683953	0.424628	5.27	25.47	25.71	3.822	1.841029
15	42.5	18.95	27.82286	0	        0.268817	5.57	50.89	25.24	7.989	2.079986
27	26.8	11.813	26.64527	4.884389	1.034807	2.33	41.21	25.9	2.662	1.102032
26	35.8	18.796	22.54149	0.259826	0.901442	3.03	42.67	24.96	7.005	2.199169
