lon lat
-109.33 37.87
-107.65 37.38
-106.657 36.956
-108.08 40.52
-106.969 40.848
-104.02 37.63
-107.58 37.37
-101.53 40.05
-105.87 39.646
-101.7 39.37
-102.28 37.4
-106.67 40.08
-105.341 36.699
-106.781 40.534
-108.58 39.07
-109.03 37.82
-107.167 41.117
-107.17 38.47
-104.65 38.18
-107.9667 41.15
-105.25 37
-109.48 37.62
-106.27 40.73
-105.122 37.214
-106.97 38.87
-104.87 39.1
-106.73 36.6
-105.48 38.13
-102.97 36.9
-105.28 36.62
-108.73 36.77
-101.38 39.78
-107.47 40.03
-105.18 38.75
-107.58 38.85
-104.65 41.15
-106.83 39.67
-107.294 40.108
-106.953 38.894
-105.53 37.72
-105 39.75
-107.65 41.03
-105.32 39.63
-103.7 39.18
-103.32 37.45
-108.8 40.08
-106.13 40.05
-104.7 40.42
-107.9 40.03
-106.158 39.718
