Common Well Name	Northing (ft)	Easting (ft)	Surf Elevation (ft amsl)	Thickness(ft)	A-B Elevation (ft amsl)	Thickness(ft)	B-C Elevation (ft amsl)	Thickness(ft)	C-D Elevation (ft amsl)	Thickness(ft)
76-1	669749	265343	5,009	7	4,983	9	4,921	0	4,790	>9
76-2	669352	266118	5,010	12	4,989	4	4,924	0	4,789	>32
76-3	669286	265161	5,010	18	4,988	3	4,917	26	4,790	>20
76-4	668889	266520	5,011	7	4,995	7	4,915	4	NA	NA
76-4a	668896	266495	5,011	2	4,995	8	4,915	3	4,790	>33
76-5	669808	266055	5,011	11	5,000	0	4,918	17	4,791	20
76-6	668734	268426	5,011	4	5,007	0	4,913	4	4,783	6
77-1	670623	266933	5,017	4	4,977	8	4,919	6	4,789	22
77-2	669579	265633	5,014	18	4,986	3	NA	NA	NA	NA
78-1	669037	267319	5,010	15	4,995	0	NA	NA	NA	NA
78-2	669782	268099	5,007	2	4,989	5	4,914	7	4,784	>30
78-3	669788	266151	5,011	4	4,999	0	4,919	0	4,786	>23
78-4	670650	266935	5,018	2	4,976	5	4,920	7	4,790	20
78-5	669365	265931	5,010	12	4,998	0	4,915	28	4,790	>30
79-1	668807	269783	5,010	5	5,005	0	4,897	28	4,785	5
79-2	669692	267171	5,011	13	4,987	3	4,913	4	NA	NA
79-3	668243	267807	5,008	13	4,995	0	4,909	4	4,780	29
88-02D	669441	267717	5,006	6	4,981	3	4,912	8	NA	NA
88-01D	669240	267059	5,008	18	4,990	0	4,907	4	4,781	>5
89-01D	669233	267132	5,009	22	4,987	0	4,908	7	4,781	>14
89-02D	669114	267021	5,011	16	4,995	0	4,910	9	4,780	7
93-01	669228	267112	5,009	20	4,989	0	4,903	4	4,781	>10
93-02	669234	267197	5,009	29	4,980	0	4,902	6	4,779	>8
9	654492	258101	5,032	9	5,000	0	4,878	38	NA	0
86	667053	243371	5,081	14	NA	0	NA	0	NA	0
87	670635	266881	5,016	3	4,975	5	4,920	0	4,787	15
88	667356	265453	5,020	5	5,015	0	4,917	11	4,789	33
89	669957	263286	5,029	10	4,985	0	4,932	14	4,798	14
90	668552	269602	5,010	5	5,005	0	4,906	22	4,763	5
91	669100	268150	5,006	9	4,997	0	4,910	15	4,777	19
92	669408	266121	5,008	19	4,989	0	4,922	5	4,790	28
93	669566	265067	5,010	13	4,997	0	4,914	12	4,792	11
93A	669566	265179	5,010	11	4,999	0	4,916	13	4,793	9
94	669150	266050	5,008	12	4,996	0	4,915	18	4,788	26
95	668770	267038	5,008	23	4,985	0	4,912	16	4,786	12
96	669750	265700	5,009	13	4,978	4	4,912	27	4,790	10
96B	669754	265337	5,009	14	4,977	5	4,911	28	4,791	>11
105	651355	277395	5,090	15	5,075	0	NA	0	NA	0
106	669059	280994	5,017	3	5,014	0	4,886	22	NA	0
108	650807	285611	5,033	7	5,026	0	4,844	82	4,715	0
109	651255	265736	5,045	1	5,044	0	4,873	12	NA	0
117	668800	265711	5,012	14	4,998	0	4,915	5	4,789	28
118	668007	267802	5,013	14	4,999	0	4,910	11	4,791	28
119	667780	267541	5,031	3	5,028	0	4,919	5	4,783	19
120	665237	264542	5,042	12	5,030	0	4,911	40	4,790	14
DO-2	669683	267180	5,012	15	4,984	3	4,914	5	4,789	>12
DO-6	669806	266863	5,012	3	4,973	9	4,925	0	NA	NA
DO-6A	669796	266860	5,012	2	4,971	>9	NA	NA	NA	NA
D-10	669739	265331	5,009	9	4,981	9	4,916	2	4,791	11
D-15	668966	264930	5,011	2	4,980	4	4,917	18	4,793	20
RWMC	669659	269011	5,005	7	4,998	0	4,909	6	4,786	17
TW-1	669689	267177	5,010	14	4,977	0	4,913	5	4,789	>17
test_w	665238	264743	5,042	3	5,039	0	4,912	10	4,788	20
WWW#1	669941	263210	5,036	5	4,992	11	4,931	16	4,805	21
WWW#2	669689	263116	5,036	3	5,001	10	4,933	>18	NA	NA
VZT-1	670702	266975	5,018	4	4,975	7	4,918	18	NA	NA
C-1	671675	269780	5,029	2	4,993	2	4,909	5	4,799	10
C-1A	671707	269792	5,029	4	4,993	0	4,911	4	4,799	12
Rif-Ran	685752	282883	4,967	9	4,958	20	4,849	0	4,821	0
HWY-3	687065	277159	4,981	21	4,960	14	4,835	0	4,816	0
EBR-I	674268	276993	5,024	11	5,013	0	4,900	24	4,788	5
A11A31	662517	268728	5,065	3	5,062	0	4,892	66	4,782	35
OW-1	665336	264794	5,042	5	5,037	0	4,915	30	4,787	14
OW-2	664910	264932	5,044	7	5,037	0	4,910	42	4,784	4
NA89-1	669083	259758	5,045	2	4,995	0	4,931	17	4,821	8
NA89-2	675154	257588	5,059	12	5,014	0	4,863	4	NA	NA
NA89-3	665178	264344	5,038	1	5,037	0	4,909	46	NA	NA
M1SA	668992	264962	5,011	7	4,980	5	4,917	20	4,790	20
