Y1 E1 phi1
4 2.590982 -0.356094594414378
12 18.75639 -0.0663231011036926
5 3.915829 0.00802716455095926
0 3.69764 -0.362705570429535
2 2.997216 -0.164317132900807
1 1.109318 -0.0333917103064682
8 5.52482 -0.308635091280401
2 3.758275 -0.388581061170002
2 3.860536 -0.266453168365835
2 4.377311 -0.29706350068485
4 3.837369 -0.236756246774660
1 2.091393 -0.367952796020146
2 3.384657 -0.235337308750444
5 5.272845 -0.0778878617282956
1 1.230933 0.00919453355518685
1 0.6631039 -0.19822012782721
3 2.125146 -0.465346024021356
6 7.001443 -0.407925421471412
25 22.19602 -0.104914181119840
0 1.734386 0.339041390831655
3 4.474572 -0.118947807715708
2 2.801414 -0.258900922681175
3 3.19559 -0.111284733597629
5 4.950137 -0.0206342090801344
6 5.364205 -0.0720717157790567
1 1.127364 -0.304413971582810
110 105.4998 0.0146794485362880
5 2.477285 -0.252210475133331
1 2.494034 -0.107154006878654
0 2.767397 -0.368232401090792
6 5.851914 -0.0126491905583148
1 1.809634 -0.467446515012932
0 1.68234 -0.378289766441258
3 4.953035 -0.267259716113331
0 0.9330251 -0.534184895649718
2 2.101713 -0.256022938816113
0 1.5154 -0.568324949663301
2 1.702911 -0.344515576508273
0 0.6155097 -0.200146996413058
1 2.957556 -0.214161310866065
1 1.269003 -0.0542688511541503
2 3.02212 -0.50346315531757
0 3.937345 -0.332361408897323
1 0.7228001 -0.124333564051502
2 1.57932 -0.301710563877613
2 3.494896 -0.470444893771649
0 2.907054 -0.350290658274902
3 2.762381 -0.436664165117133
3 3.88889 -0.313623948584636
2 5.954022 -0.0798438971727665
0 1.551551 -0.659541148252311
3 2.745138 -0.302849770696121
2 2.968118 -0.648585429525673
1 1.283676 -0.258444784487277
8 10.79979 0.0154344470333480
14 8.310689 -0.0482533301011366
1 1.756435 0.0912628590297453
4 3.082829 -0.328790620537462
0 1.641255 -0.065236330091342
2 4.476339 -0.218615287721024
3 1.871393 -0.0343385529869389
74 50.84083 0.347510741937855
0 0.6575913 -0.0737547605408685
1 2.645505 -0.450956118868289
3 2.706622 -0.278543773161128
7 5.215285 0.181556837680839
0 1.536634 -0.603567837067933
2 1.70209 -0.0197864145925147
21 26.84323 0.0361702580536777
5 4.785876 -0.0722871540322227
2 3.5562 -0.222561093101825
1 2.041068 -0.281332264375718
9 11.70073 -0.244593186358666
3 3.674319 0.0857653422499631
1 1.330852 0.161417715225023
1 1.787206 -0.151626525775299
3 3.215372 -0.337538648603146
2 0.8200567 -0.185277874739375
2 2.646584 0.0619564290074438
2 2.057074 -0.136709547393385
4 2.266819 -0.123529201206198
15 12.98153 -0.0756092137892964
1 1.758527 -0.5000005274951
0 0.9828984 -0.105401994565336
8 5.398726 0.0901484083046344
5 6.56993 -0.112733340412832
0 1.852933 -0.271859940882812
