"Sample","X","Y","NO3_F","NH4_F","NO3_I","NH4_I","N_MIN","NET_NITR","Al","Ca","K","Mg","P","PO4"
"11",31,20,0.11,0.22,0.17,0.1,0,0,1511.54,17.19,63.64,28.56,6.44,4.38
"20",40,20,0.04,0.28,0.08,0.03,0.01,0,930.78,128.13,86.35,55.12,6.24,3.7
"30",50,20,0.08,0.34,0.13,0.06,0.01,0,1730.71,59.21,91.87,37.61,2.09,1.13
"40",60,20,0.06,0.26,0.1,0.03,0.01,0,2538.62,99.44,132.53,93.95,10.71,6.7
"50",70,20,0.05,0.24,0.08,0.02,0.01,0,1033.85,75.8,61.19,34.65,4.84,3.87
"60",80,20,0.05,0.23,0.03,0.03,0.01,0,824.82,73.32,52.85,29.62,1.16,0
"70",90,20,0.07,0.27,0.11,0.04,0.01,0,1298.93,144.01,140,62.3,5.02,1.22
"80",100,20,0.1,0.21,0.11,0.04,0.01,0,2899.54,281.03,138.08,124.05,2.69,5.97
"90",110,20,0.06,0.34,0.14,,,,1025.87,185.54,148.81,59.12,2.49,3.73
"100",120,20,0.03,0.27,0.07,0.03,0.01,0,1609.03,126.62,114.58,44.83,5.96,3.37
"110",130,20,0.04,0.26,0.05,0.03,0.01,0,2821.27,208.84,153.46,78.16,6.9,3.88
"120",140,20,0.03,0.23,0.06,0.03,0.01,0,1580.99,153.65,204.22,62.99,6.09,3.79
"130",150,20,0.07,0.32,0.12,0.06,0.01,0,1232.79,257.17,144.65,63,9.59,8.61
"140",160,20,0.07,0.24,0.09,0.02,0.01,0,1822.42,98.73,81.35,43.03,8.71,6.5
"150",170,20,0.04,0.33,0.09,0.06,0.01,0,1456.7,147.08,162.69,64.61,3.49,3.25
"160",180,20,0.05,0.22,0.07,0.02,0.01,0,3400.24,133.96,132.42,55.82,11.71,2.09
"170",190,20,0.08,0.27,0.1,0.03,0.01,0,3765.48,198.94,181.01,77.79,12.42,1.95
"180",200,20,0.07,0.22,0.13,0.02,0,0,1712.5,74.25,113.86,40.11,5.15,4.49
"190",210,20,0.01,0.25,0.07,0.07,0,0,1908.09,259.44,144.76,95.12,11.64,15.76
"200",220,20,0.01,0.28,0.05,0.03,0.01,0,1642.2,308.13,135.46,94.86,13,25.63
"0/20","0",20,0.04,0.25,0.06,0.02,0.01,0,1331.74,57.96,92.56,41.22,1.2,1.37
"10/20","10",20,0.05,0.21,0.07,0.01,0.01,0,3130.32,96.16,150.92,61.43,2.21,1.82
"20/10","20",30,0.06,0.25,0.09,0.04,0.01,0,1004.3,173.39,84.77,69.53,1.24,2.45
"20/40","20",0,0.06,0.31,0.08,0.01,0.01,0,1116.94,51,99.68,22.83,0.52,3.27
"30/0","30",40,0.05,0.25,0.1,0.04,0.01,0,1268.38,115.01,96.27,55.21,1.54,2.27
"30/30","30",10,0.01,0.19,0.04,0.01,0.01,0,966.93,49.79,80.32,24.45,0.62,1.65
"40/10","40",30,0.05,0.28,0.11,0.04,0.01,0,2377.65,513.61,221.84,158.45,4.88,4.6
"40/40","40",0,0.05,0.2,0.08,0,0.01,0,985.53,123.64,159.39,38.83,0.26,0.75
"50/0","50",40,0.06,0.21,0.09,0.01,0.01,0,2973.24,346.58,248.7,181.79,2.26,1.68
"50/30","50",10,0.06,0.12,0.12,0.09,0,0,3127.06,458.14,267.43,137,6.17,4.53
"60/10","60",30,0.06,0.23,0.11,0.03,0.01,0,1275.85,138.55,132.28,58.48,2,4.61
"60/40","60",0,0.09,0.25,0.13,0.05,0.01,0,2091.11,777.49,196.14,154.94,4.34,5.36
"70/0","70",40,0.12,0.25,0.21,0.01,0.01,0,2763,174.78,159.79,70.04,2.44,2.76
"70/30","70",10,0.06,0.23,0.09,0.03,0.01,0,1079.03,191.97,129.04,50.57,1.48,2.26
"80/10","80",30,0.05,0.22,0.07,0.01,0.01,0,1568.45,107.61,106.6,52.44,0.64,1.48
"80/40","80",0,0.1,0.24,0.12,0.06,0.01,0,986.68,93.29,66.67,34.79,0,0
"90/0","90",40,0.12,0.22,0.19,0.07,0,0,1106.84,144.58,121.62,43.97,0.73,3.17
"90/30","90",10,0.05,0.28,0.08,0.01,0.01,0,1205.97,54.65,87.42,33.11,1.03,0.77
"100/10","100",30,0.04,0.22,0.05,0.05,0.01,0,1638.71,109.4,77.44,50.17,0.18,0
"100/40","100",0,0.07,0.22,0.08,0,0.01,0,980.77,69.82,87.39,28.31,0.13,0.34
"110/0","110",40,0.08,0.28,0.12,0.05,0.01,0,2640.77,452.73,218.87,178.94,3.1,5.42
"110/30","110",10,0.03,0.18,0.03,0,0.01,0,1043.42,89.72,83.73,30.76,0,0
"120/10","120",30,0.05,0.25,0.08,0.04,0.01,0,1166.12,53.14,89.01,26.16,0.4,1.48
"120/40","120",0,0.06,0.22,0.09,0.01,0.01,0,959.98,70.45,78.52,29.77,0.61,0.77
"130/0","130",40,0.1,0.32,0.11,0.05,0.01,0,2373.6,174.84,178.01,66.73,1.85,2.07
"130/30","130",10,0.03,0.25,0.05,0.03,0.01,0,1358.88,127.92,81.65,53.03,1.05,0.52
"140/10","140",30,0.07,0.22,0.11,0.02,0.01,0,1434.35,141.84,82.64,38.99,1.06,3.03
"140/40","140",0,0.05,0.18,0.1,0.02,0,0,994.14,54.42,77.52,48.71,0.78,0
"150/0","150",40,0.09,0.19,0.1,0.09,0,0,2319.05,204.95,134.18,73.56,1.09,3.7
"150/30","150",10,0.01,0.15,0,0,0.01,0,1183.59,35.88,34.66,21.59,0,0.27
"160/10","160",30,0.06,0.29,0.11,0.04,0.01,0,3316.97,171.07,159.33,99.43,3.04,4.28
"160/40","160",0,0.06,0.24,0.09,0.04,0.01,0,1685.8,62.23,119.2,55.67,1.74,1.97
"170/0","170",40,0.08,0.25,0.1,0.05,0.01,0,1293,83.59,103.76,48.9,3.02,6.53
"170/30","170",10,0.08,0.44,0.14,0.14,0.01,0,1181.36,142.37,107.44,51.96,2.92,7.53
"180/10","180",30,0.09,0.22,0.12,0.09,0,0,1311.77,59.17,139.16,39.59,1.07,3.57
"180/40","180",0,,0.33,0.11,0.05,,,2093.5,189.08,128.98,75.68,1.62,1.54
"190/0","190",40,0.04,0.21,0.06,0.07,0,0,1533.67,65.48,87.32,39,1.45,4.96
"190/30","190",10,0.05,0.09,0.11,0.05,0,0,1403.83,220.75,195.05,80.1,3.93,9.63
"200/10","200",30,0.04,0.17,0.05,0.06,0,0,2055.64,98.01,155.36,75.75,8.99,14.71
"200/40",200,0,0.08,0.21,0.06,0,0.01,0,878.53,62.18,94.31,29.73,1.12,5.15
"210/0","210",40,0.01,0.24,0.04,0.03,0.01,0,1230.37,52.29,68.24,31.52,3.56,21.15
"210/30","210",10,0.07,0.26,0.14,0.03,0.01,0,3999.43,135.32,217.74,85.38,4.16,4.59
"220/10","220",30,0.03,0.2,0.03,0.03,0.01,0,2649.67,195.86,125.19,104.51,18.92,46.8
"220/40","220",0,0.06,0.27,0.15,0.02,0.01,0,2695.38,505.97,203.26,84.72,6.96,3.93
"230/20","230",20,0,0.27,0.01,0.02,0.01,0,1478.66,272.75,164.62,124.58,16.97,41.02
"240/20","240",20,0,0.22,0.01,0.02,0.01,0,2476.91,323.1,175.79,151.75,16.46,33.89
"20.40.1",16.72,1.00,0,0.38,0,0.56,-0.01,0,1106.25,82.3,89.98,38.75,9.97,13.27
"50.30.1",55.41,9.34,0,0.33,0,0.22,0,0,1548.95,164.97,107.74,52.55,6.48,3.66
"60.40.1",65.79,1.13,0,0.33,0,0.28,0,0,783.87,269.41,61.86,64.14,1.64,0.79
"80.40.1",80.04,0.01,0.02,0.2,0.01,0.2,0,0,1185.25,68.26,79.95,36.33,0.71,0.73
"100.10.1A",95.89,26.30,0.01,0.32,0,0.21,0,0,1431.2,73.74,45.93,28.58,0.93,0.4
"100.40.1",95.97,1.55,0,0.4,0,0.26,0,0,1247.41,195.47,163.91,69.6,9.55,5.97
"110.00.1",108.91,33.13,0.02,0.71,0,0.54,0.01,0,1208.05,276.21,154.14,89.69,2.02,3.98
"120.10.1",116.28,31.74,0.01,0.45,0,0.3,0.01,0,1613.29,307.63,140.36,150.82,6.52,7.91
"130.00.1",124.11,42.75,0.01,0.53,0,0.33,0.01,0,1042.5,77.55,70.94,53.72,6.15,6.04
"150.00.1",149.89,40.58,0.01,0.39,0,0.26,0.01,0,1302.82,206.15,103.03,54.03,6.61,3
"160.10.1",158.75,28.21,0.01,0.41,0.01,0.32,0,0,1288.11,130.63,75.54,66.92,3.68,7.37
"180.40.1",185.55,-3.47,0.02,0.43,0.03,0.27,0.01,0,1172.98,164.64,77.63,42.94,5.3,9.66
"200.40.1A",199.69,-5.96,0,0.7,0,0.48,0.01,0,1518.92,106.79,104.41,47.06,10.8,6.75
"220.10.1",218.79,28.98,0,0.34,0.01,0,,,1515.97,251.13,148.45,93.49,23.58,37.79
