"x" "y" "coal"
1 14 10.21
1 15 9.92
1 16 11.17
2 8 10.01
2 10 11.15
2 11 11.31
2 12 9.92
2 14 10.73
2 15 10.82
2 16 10.14
3 17 9.97
3 16 9.93
3 15 11.65
3 14 9.46
3 13 12.5
3 12 11.05
3 11 9.41
3 10 9.91
3 9 10.82
3 8 8.23
3 7 10.39
3 6 10.41
3 5 9.76
3 4 10.93
4 20 9.79
4 19 10.74
4 18 11.21
4 17 9.7
4 16 10.27
4 15 8.96
4 14 9.35
4 13 9.63
4 12 10.11
4 11 9.37
4 10 10.17
4 9 11.75
4 8 11.04
4 7 11.11
4 6 10.82
4 5 11.1
4 4 10.94
4 3 9.64
4 2 9.29
4 1 10.59
5 1 10.43
5 2 8.75
5 3 9.52
5 4 9.53
5 5 10.8
5 6 17.61
5 7 10.96
5 8 10.28
5 9 9.78
5 10 10.55
5 11 11.21
5 12 11.46
5 13 10.82
5 14 9.78
5 15 9.88
5 16 10.21
5 17 9.84
5 18 9.89
5 19 12.8
5 20 9.06
5 21 10.39
6 1 9.32
6 2 8.96
6 3 10.06
6 4 10.61
6 5 8.86
6 6 10.87
6 7 10.83
6 8 13.07
6 9 11
6 10 11.61
6 11 9.93
6 12 10.41
6 13 10.12
6 14 10.38
6 15 8.9
6 16 11.09
6 17 10.29
6 18 10.34
6 19 10.03
6 20 10.7
6 21 10.65
7 2 8.27
7 3 12.65
7 4 10.27
7 5 9.48
7 7 10.09
7 8 10.47
7 9 9.79
7 10 9.16
7 11 10.7
7 12 8.45
7 13 9.4
7 14 9.79
7 15 10.18
7 16 10.63
7 17 9.84
7 18 8.2
7 19 9.36
7 20 11.21
7 21 10.36
7 22 11.62
8 2 8.14
8 3 9.63
8 4 9.59
8 5 9.22
8 6 13.06
8 7 8.69
8 8 11.58
8 9 10.19
8 10 10.04
8 11 9.27
8 12 8.9
8 13 9.48
8 14 8.91
8 15 9.34
8 16 8.82
8 17 10.01
8 18 9.82
8 19 8.57
8 20 8.98
8 21 9.58
8 22 10.91
9 4 9.82
9 5 9.61
9 6 11.41
9 7 11.17
9 8 9.46
9 9 9.15
9 10 11.19
9 11 9.28
9 12 8.07
9 13 10.99
9 14 9.22
9 15 10.56
9 16 10.18
9 17 9.01
9 18 10.06
9 19 9.01
9 20 9.27
9 21 10.66
9 22 8.76
10 4 7.81
10 5 8.2
10 6 9.96
10 7 9.39
10 8 8.54
10 9 8.15
10 10 8.1
10 11 10.13
10 12 7.96
10 13 9.92
10 14 11.43
10 15 9.06
10 16 9.34
10 17 7.68
10 18 8.58
10 19 9.04
10 20 8.19
10 21 8.92
10 22 8.89
10 23 8.59
11 6 9.15
11 7 9.56
11 8 10.87
11 9 9.2
11 10 11.3
11 11 8.61
11 12 7
11 13 7.85
11 16 8.61
11 17 9.25
11 18 8.89
11 19 7.28
11 20 7.88
11 21 7.8
11 22 9.1
11 23 9
12 11 8.78
12 12 7.9
12 13 8.21
12 17 7.83
12 18 8.64
12 19 9.58
12 20 7.61
12 21 7.84
12 22 7.62
12 23 11.86
13 17 9.14
13 18 7.04
13 19 9.69
13 20 8.2
13 21 9.03
13 22 9.65
13 23 8.91
14 18 8.81
14 19 9.96
14 20 8.77
14 21 8.6
14 23 9.99
15 17 7.63
15 18 7.95
15 19 9.91
16 17 9.07
