This file, also prepared by Prof. Melanie Wall, contains the
contiguity (adjacency) matrix for the "lower 48" states in the USA
(Hawaii and Alaska are not included, nor is the District of Columbia).
The order is alphabetic starting with Alabama and ending with Wyoming.

column 1:  state number (1 through 48)

remaining columns: number labels for the states that share a common
border with the state in column 1.

(Note that states which share a common *point* are also considered
neighbors in this file.  So for example, Arizona and Colorado are
considered neighbors)



1   8 9 40 22 
2   4 26 42 5 29
3   23 40 22 16 41 34
4   35 26 2
5   48 25 14 34 29 2 42
6   30 19 37 
7   28 18 36
8   9 1
9   1 8 38 31 40 
10  45 35 26 42 48 24 
11  47 12 15 23 13
12  11 20 33 15
13  21 47 11 23 25 39 
14  25 23 34 5 
15  23 11 12 33 46 44 40 
16  41 3 22
17  27
18  36 7 44 46
19  43 27 37 6 30
20  12 33 47 
21  32 39 13 47
22  16 3 40 1 
23  13 11 15 40 3 34 14 25 
24  10 48 39 32
25  39 13 23 14 5 48
26  35 10 42 2 4
27  43 19 17
28  7 30 36 
29  2 42 5 34 41
30  43 19 6 28 36
31  44 40 9 38
32  24 39 21
33  20 12 15 46 36
34  14 23 3 41 29 5
35  45 10 26 4
36  30 28 7 18 46 33 
37  6 19
38  31 9
39  32 24 48 25 13 21
40  15 44 31 9 1 22 3 23 
41  29 34 3 16
42  10 48 5 29 2 26 
43  30 19 27 
44  46 18 31 40 15
45  35 10
46  33 36 18 44 15
47  20 11 13 21
48  24 39 25 5 42 10
