strata sample lat long tcatch prerec recruits lgcatch
6350 1 40.55 -71.55 0 0 0 0
6350 2 40.46667 -71.51667 0 0 0 0
6350 3 40.51667 -71.71667 0 0 0 0
6350 4 40.38333 -71.85 1 0 1 0.6931472
6350 5 40.31667 -71.78333 0 0 0 0
6350 6 40.26667 -71.88333 0 0 0 0
6310 7 40.13333 -72.08333 2 1 1 1.098612
6310 8 40.06667 -72.16667 0 0 0 0
6310 9 40.1 -72.31667 7 3 4 2.079442
6310 10 40.01667 -72.4 13 6 7 2.639057
6310 11 39.9 -72.56667 530 286 244 6.274762
6310 12 39.81667 -72.48333 2750 2278 472 7.91972
6310 13 39.85 -72.58333 2060 1496 564 7.630947
6310 14 39.81667 -72.68333 1016 382 634 6.924612
6310 15 39.76667 -72.73333 1206 808 398 7.095893
6310 16 39.68333 -72.61667 30 25 5 3.433987
6280 17 39.58333 -72.65 110 59 51 4.70953
6280 18 39.5 -72.53333 0 0 0 0
6280 19 39.43333 -72.63333 0 0 0 0
6280 20 39.46667 -72.66667 722 271 451 6.583409
6280 21 39.43333 -72.73333 41 12 29 3.737670
6280 22 39.4 -72.8 39 10 29 3.688879
6280 23 39.31667 -72.73333 0 0 0 0
6280 24 39.33333 -72.85 94 10 84 4.553877
6280 25 39.26667 -72.81667 7 0 7 2.079442
6280 26 39.21667 -72.78333 0 0 0 0
6240 27 38.96667 -72.98333 0 0 0 0
6240 28 38.86667 -73.18333 33 6 27 3.526361
6240 30 38.76667 -73.18333 0 0 0 0
6240 31 38.65 -73.25 0 0 0 0
6240 32 38.6 -73.38333 1 0 1 0.6931472
6230 101 38.68333 -73.61667 344 79 265 5.843544
6230 102 38.65 -73.53333 942 326 616 6.849066
6230 103 38.73333 -73.51667 758 150 608 6.632002
6220 104 38.76667 -73.6 83 14 69 4.430817
6220 105 38.81667 -73.7 60 32 28 4.110874
6220 106 38.93333 -73.51667 27 13 14 3.332205
6230 107 38.88333 -73.43333 119 15 104 4.787492
6230 108 38.85 -73.35 482 165 317 6.180017
6230 109 38.93333 -73.28333 151 65 86 5.023881
6220 110 39.01667 -73.48333 20 4 16 3.044522
6220 111 39.15 -73.55 16 8 8 2.833213
6220 112 39.13333 -73.45 26 6 20 3.295837
6220 113 39.23333 -73.31667 18 6 12 2.944439
6220 114 39.3 -73.31667 30 3 27 3.433987
6230 115 39.33333 -73.21667 55 7 48 4.025352
6230 116 39.21667 -73.13333 86 18 68 4.465908
6230 117 39.13333 -73.15 1336 880 456 7.198184
6230 118 39.1 -73.18333 239 58 181 5.480639
6230 119 39.01667 -73.15 459 110 349 6.131226
6230 120 39.06667 -73.08333 229 62 167 5.438079
6230 121 39.18333 -73.1 105 62 43 4.663439
6230 122 39.28333 -72.98333 557 251 306 6.324359
6230 123 39.31667 -72.93333 5056 2896 2160 8.528529
6270 124 39.38333 -72.91667 2500 1740 760 7.824446
6230 126 39.38333 -73.11667 264 74 190 5.57973
6260 128 39.51667 -73.11667 10 2 8 2.397895
6250 129 39.51667 -73.15 8 6 2 2.197225
6260 130 39.65 -73.06667 28 1 27 3.367296
6270 131 39.65 -72.98333 46 13 33 3.850148
6270 132 39.55 -72.96667 370 173 197 5.916202
6270 133 39.6 -72.88333 316 66 250 5.758902
6270 134 39.51667 -72.88333 970 482 488 6.878326
6270 135 39.48333 -72.85 476 224 252 6.167516
6270 136 39.5 -72.73333 7084 4487 2597 8.865735
6270 137 39.55 -72.8 3246 2316 930 8.085487
6270 138 39.63333 -72.76667 322 216 106 5.777652
6270 139 39.71667 -72.85 0 0 0 0
6270 140 39.8 -72.95 0 0 0 0
6270 141 39.71667 -73 16 4 12 2.833213
6260 142 39.71667 -73.05 17 5 12 2.890372
6260 143 39.76667 -73.11667 15 5 10 2.772589
6270 144 39.81667 -73.06667 17 1 16 2.890372
6260 146 39.88333 -73.25 41 15 26 3.737670
