Spatial coordinates for the I=88 Ohio county centroids, 
again listed in alphabetical order.  

      horizontal         vertical

       8.0000000        3.0000000 
       4.0000000        19.000000 
       16.000000        20.000000 
       26.000000        27.000000 
       17.000000        7.0000000 
       3.0000000        18.000000 
       24.000000        13.000000 
       6.0000000        3.0000000 
       1.0000000        8.0000000 
       23.000000        17.000000 
       6.0000000        14.000000 
       6.0000000        12.000000 
       4.0000000        5.0000000 
       6.0000000        8.0000000 
       26.000000        19.000000 
       18.000000        15.000000 
       12.000000        20.000000 
       19.000000        25.000000 
       1.0000000        14.000000 
       1.0000000        24.000000 
       11.000000        15.000000 
       13.000000        25.000000 
       13.000000        10.000000 
       8.0000000        9.0000000 
       11.000000        12.000000 
       4.0000000        26.000000 
       16.000000        2.0000000 
       22.000000        25.000000 
       6.0000000        10.000000 
       21.000000        13.000000 
       1.0000000        6.0000000 
       7.0000000        21.000000 
       7.0000000        18.000000 
       23.000000        15.000000 
       4.0000000        24.000000 
       7.0000000        5.0000000 
       15.000000        8.0000000 
       18.000000        17.000000
       14.000000        23.000000 
       14.000000        4.0000000 
       25.000000        17.000000 
       15.000000        16.000000 
       23.000000        28.000000 
       14.000000        1.0000000 
       14.000000        14.000000 
       6.0000000        16.000000 
       17.000000        24.000000 
       6.0000000        27.000000 
       9.0000000        12.000000 
       26.000000        21.000000 
       10.000000        18.000000 
       18.000000        22.000000 
       17.000000        5.0000000 
       1.0000000        18.000000 
       3.0000000        13.000000 
       24.000000        10.000000 
       3.0000000        10.000000 
       18.000000        9.0000000 
       12.000000        17.000000 
       18.000000        12.000000 
       21.000000        10.000000 
       10.000000        26.000000 
       1.0000000        22.000000 
       16.000000        10.000000 
       11.000000        10.000000 
       11.000000        4.0000000 
       23.000000        23.000000 
       1.0000000        10.000000 
       4.0000000        21.000000 
       14.000000        19.000000 
       11.000000        7.0000000 
       10.000000        24.000000 
       11.000000        13.000000 
       10.000000        22.000000 
       3.0000000        15.000000 
       22.000000        20.000000 
       20.000000        23.000000 
       26.000000        24.000000 
       21.000000        17.000000 
       9.0000000        15.000000 
       1.0000000        20.000000 
       15.000000        6.0000000 
       4.0000000        8.0000000 
       21.000000        8.0000000 
       18.000000        20.000000 
       1.0000000        26.000000 
       7.0000000        24.000000 
       9.0000000        20.000000 
