strata sample lat long tcatch prerec recruits lgcatch
6310 11 39.9 -72.56667 530 286 244 4.436927
6310 13 39.85 -72.58333 2060 1496 564 5.395894
6310 14 39.81667 -72.68333 1016 382 634 4.89644
6310 15 39.76667 -72.73333 1206 808 398 5.017554
6310 16 39.68333 -72.61667 30 25 5 2.428196
6280 17 39.58333 -72.65 110 59 51 3.330141
6270 131 39.65 -72.98333 46 13 33 2.722465
6270 132 39.55 -72.96667 370 173 197 4.183387
6270 133 39.6 -72.88333 316 66 250 4.072158
6270 134 39.51667 -72.88333 970 482 488 4.863711
6270 137 39.55 -72.8 3246 2316 930 5.717303
6270 138 39.63333 -72.76667 322 216 106 4.085417
6270 139 39.71667 -72.85 0 0 0 0
6270 140 39.8 -72.95 0 0 0 0
6310 163 39.85 -72.98333 3 0 3 0.9802581
6300 164 39.9 -72.91667 114 33 81 3.355174
6300 165 39.85 -72.78333 471 202 269 4.353642
6310 166 39.98333 -72.58333 842 556 286 4.763755
6300 167 39.98333 -72.75 326 254 72 4.09412
6300 168 39.98333 -72.81667 52 23 29 2.807420
